hhid,head_siblings,debt_ratio_winsorized,log_debt_ratio_winsorized,total_debt,total_assets,head_age,head_is_male,head_educ,head_is_married,head_health,has_business,num_houses,log_total_assets
2013027185,,0.10845986984815606,-2.2121972823027374,100000.0,922000.0,55.0,1.0,3.0,1.0,3.0,0.0,2.0,13.73430158713684
2017003496,,0.09184845005740508,-2.3767866842963103,40000.0,435500.0,53.0,0.0,4.0,1.0,3.0,0.0,1.0,12.98425237148331
2013012311,,0.0,-6.907755278982137,0.0,3600.0,68.0,1.0,2.0,1.0,3.0,0.0,0.0,8.188966863648876
2015028992,,0.13106159895150718,-2.024486806523546,800000.0,6104000.0,56.0,1.0,4.0,1.0,1.0,1.0,2.0,15.624455015773416
2017003499,,0.0,-6.907755278982137,0.0,20050.0,63.0,0.0,1.0,1.0,4.0,0.0,1.0,9.906034306802704
2017003500,,0.0,-6.907755278982137,0.0,9200.0,70.0,1.0,1.0,0.0,3.0,0.0,1.0,9.127067452782361
2013006273,,1.6769144773616078,0.5175516397387673,60000.0,35780.0,66.0,1.0,3.0,1.0,3.0,0.0,1.0,10.48517230524678
2013006603,1.0,0.0,-6.907755278982137,0.0,107200.0,29.0,0.0,3.0,1.0,3.0,0.0,1.0,11.582460855933538
2015024905,,0.0,-6.907755278982137,0.0,3100.0,68.0,1.0,2.0,1.0,3.0,0.0,1.0,8.03947991910045
2013016784,,0.0,-6.907755278982137,0.0,220000.0,59.0,1.0,3.0,1.0,3.0,1.0,1.0,12.301387370778713
2015012127,,0.0,-6.907755278982137,0.0,2847400.0,45.0,0.0,3.0,1.0,3.0,0.0,2.0,14.861917206359305
2013022455,,0.07257552390456312,-2.6094428642007204,80000.0,1102300.0,41.0,1.0,6.0,1.0,3.0,0.0,1.0,13.912910371145044
2015025025,,0.0,-6.907755278982137,0.0,16010.0,46.0,0.0,3.0,1.0,1.0,0.0,0.0,9.681031265002055
2017003508,2.0,0.0,-6.907755278982137,0.0,245500.0,35.0,0.0,2.0,1.0,2.0,0.0,1.0,12.411056299528171
2013004411,,0.0,-6.907755278982137,0.0,701550.0,66.0,1.0,1.0,1.0,2.0,0.0,1.0,13.461048877236278
2017003510,3.0,0.0,-6.907755278982137,0.0,69601.0,23.0,1.0,5.0,0.0,3.0,0.0,0.0,11.150548581541834
2015015236,,0.11158727542442703,-2.1840265765501656,67700.0,606700.0,55.0,1.0,1.0,1.0,4.0,1.0,2.0,13.315791362190115
201101670,,0.33333333333332593,-1.0956167796883334,15000.0,45000.0,47.0,0.0,2.0,1.0,5.0,0.0,1.0,10.714439990727769
2015002767,,0.0,-6.907755278982137,0.0,762900.0,70.0,0.0,2.0,0.0,1.0,0.0,1.0,13.544883550865245
2017003514,3.0,0.0,-6.907755278982137,0.0,62900.0,32.0,0.0,6.0,1.0,2.0,0.0,0.0,11.049317340813348
201103998,2.0,0.30115830115830095,-1.196804222918665,390000.0,1295000.0,38.0,0.0,3.0,1.0,3.0,0.0,1.0,14.07402202531625
2013028074,,0.1609298167188184,-1.8205922677517896,18000.0,111850.0,48.0,0.0,4.0,1.0,3.0,0.0,1.0,11.624922907423683
2013001227,,0.0,-6.907755278982137,0.0,1215500.0,60.0,1.0,3.0,1.0,2.0,1.0,1.0,14.010666895444682
2013018425,,0.10758472296933778,-2.2202245538514718,20000.0,185900.0,47.0,0.0,4.0,1.0,5.0,0.0,1.0,12.132969552931216
2015034501,,0.0,-6.907755278982137,0.0,219000.0,68.0,0.0,7.0,1.0,4.0,0.0,1.0,12.296831574998258
2015014212,1.0,0.43196544276457655,-0.8370973630223344,80000.0,185200.0,28.0,0.0,6.0,1.0,2.0,0.0,0.0,12.129197000747673
2017003521,,0.037046184243022924,-3.268954482409451,30000.0,809800.0,70.0,1.0,5.0,1.0,3.0,0.0,1.0,13.604543817452244
2013012863,,0.0,-6.907755278982137,0.0,1250.0,66.0,1.0,2.0,1.0,2.0,0.0,1.0,7.1316985104669115
2013020044,,0.0,-6.907755278982137,0.0,122500.0,72.0,1.0,3.0,1.0,3.0,0.0,1.0,11.715874472198905
2013027195,,0.0,-6.907755278982137,0.0,252500.0,62.0,0.0,2.0,1.0,2.0,0.0,1.0,12.439170488085749
2017003525,,0.0,-6.907755278982137,0.0,6040.0,65.0,1.0,1.0,1.0,3.0,0.0,1.0,8.706324840138741
2017003526,,0.0,-6.907755278982137,0.0,61200.0,63.0,0.0,1.0,1.0,3.0,0.0,1.0,11.021918808236205
2013021374,,0.17182130584192323,-1.755497132516403,25000.0,145500.0,50.0,1.0,3.0,1.0,1.0,0.0,2.0,11.8879382384223
2015028578,,0.0,-6.907755278982137,0.0,1627000.0,50.0,1.0,3.0,1.0,2.0,1.0,2.0,14.302249000829136
2017003529,3.0,1.6986301369862968,0.5304106609125017,620000.0,365000.0,28.0,0.0,5.0,1.0,1.0,1.0,1.0,12.807655372286902
2015000491,,0.0,-6.907755278982137,0.0,4646300.0,73.0,0.0,2.0,1.0,2.0,0.0,1.0,15.351581977127385
2017003531,,0.0,-6.907755278982137,0.0,149300.0,52.0,0.0,3.0,1.0,3.0,1.0,1.0,11.913719681428494
2013016957,,0.0,-6.907755278982137,0.0,403400.0,45.0,1.0,7.0,1.0,3.0,0.0,1.0,12.90768638342828
2017003533,1.0,0.0,-6.907755278982137,0.0,597500.0,29.0,0.0,7.0,1.0,1.0,0.0,1.0,13.30051123642657
2013000077,,0.0,-6.907755278982137,0.0,154330.0,62.0,0.0,3.0,1.0,1.0,0.0,0.0,11.946854925495474
2013023925,,0.0,-6.907755278982137,0.0,339000.0,50.0,1.0,3.0,1.0,2.0,0.0,1.0,12.733758336210744
201102023,,0.0,-6.907755278982137,0.0,61200.0,63.0,1.0,3.0,0.0,1.0,0.0,1.0,11.021918808236205
2017003537,1.0,0.14679497634969824,-1.9119292605605893,900000.0,6131000.0,30.0,0.0,7.0,1.0,2.0,1.0,2.0,15.628868589850342
2017003538,,0.0,-6.907755278982137,0.0,5610800.0,47.0,1.0,8.0,1.0,4.0,1.0,1.0,15.540204048055342
2017003539,1.0,4.054054054053945,1.3999640177014507,150000.0,37000.0,39.0,1.0,4.0,1.0,2.0,0.0,1.0,10.518700218288165
2013011774,,0.0,-6.907755278982137,0.0,2030000.0,51.0,0.0,2.0,1.0,2.0,1.0,1.0,14.523546843628687
2013009558,1.0,0.05411255411255405,-2.898377746442286,50000.0,924000.0,31.0,0.0,6.0,1.0,1.0,0.0,1.0,13.736468432874318
2017003542,,0.0,-6.907755278982137,0.0,2405000.0,66.0,1.0,7.0,1.0,2.0,0.0,2.0,14.693060877322328
